app_name,rq4_found,rq4_status,rq4_normal_count,rq4_dangerous_count,rq5_found,rq5_status,rq5_unused_count,rq7_found,rq7_status,rq7_vulnerable_count,rq7_safe_export_count,error
_Mercedes me_2.13.12_Apkpure.apk,True,MEDIUM RISK,4,4,True,VULNERABLE,5,True,VULNERABLE,5,6,
AC Remote Control_2.1_Apkpure.apk,True,MEDIUM RISK,5,2,True,VULNERABLE,3,True,VULNERABLE,10,1,
AC Remote For LG Air Condition_10.0.0.1_Apkpure.apk,True,MEDIUM RISK,7,1,True,VULNERABLE,3,False,CLEAN,0,3,
AC Remote For Panasonic_10.0.0.1_Apkpure.apk,True,MEDIUM RISK,7,1,True,VULNERABLE,3,False,CLEAN,0,3,
AIO Remote_3.5.9.14_Apkpure.apk,True,MEDIUM RISK,5,2,True,VULNERABLE,3,True,VULNERABLE,3,4,
all.language.translator.hub.malayalamtosamoantranslator_1.apk,True,MEDIUM RISK,4,3,True,VULNERABLE,4,False,CLEAN,0,1,
Amazon Alexa_2.2.486074.0_Apkpure.apk,True,HIGH RISK,10,21,True,VULNERABLE,10,True,VULNERABLE,44,13,
aplus.strafrecht_37.apk,True,MEDIUM RISK,1,1,True,VULNERABLE,2,False,CLEAN,0,1,
Arçelik Akıllı Kumanda_3.36_Apkpure.apk,True,VULNERABLE,4,0,True,VULNERABLE,3,True,VULNERABLE,1,1,
Bike Itaú_ Bicycle-Sharing_9.3.2_Apkpure.apk,True,MEDIUM RISK,3,5,True,VULNERABLE,6,False,CLEAN,0,1,
Bird — Ride Electric_4.214.0.7_Apkpure.apk,True,MEDIUM RISK,7,8,True,VULNERABLE,4,True,VULNERABLE,4,9,
Bose Music_6.1.2_Apkpure.apk,True,MEDIUM RISK,8,3,True,VULNERABLE,8,False,CLEAN,0,13,
Bose SoundTouch_27.0.1_Apkpure.apk,True,MEDIUM RISK,5,2,True,VULNERABLE,7,True,VULNERABLE,5,3,
Brother iPrint&Scan_6.10.0_Apkpure.apk,True,MEDIUM RISK,6,6,True,VULNERABLE,8,False,CLEAN,0,9,
Cable Remote Control Universal_8.4.3_Apkpure.apk,True,MEDIUM RISK,3,2,True,VULNERABLE,6,True,VULNERABLE,3,4,
Canon CameraWindow_1.5.2.21_Apkpure.apk,True,MEDIUM RISK,4,3,True,VULNERABLE,7,True,VULNERABLE,1,1,
Cardiograph - Heart Rate Meter_4.1.5_Apkpure.apk,True,MEDIUM RISK,4,4,True,VULNERABLE,8,True,VULNERABLE,1,1,
Cast to Chromecast - Screen mi_2.2_Apkpure.apk,True,MEDIUM RISK,6,4,True,VULNERABLE,4,True,VULNERABLE,1,1,
"Cast to TV - Chromecast, Roku_2.3.1.1_Apkpure.apk",True,MEDIUM RISK,7,2,True,VULNERABLE,6,False,CLEAN,0,1,
"Cast to TV_ Chromecast, Roku_1.5.0.2_Apkpure.apk",True,MEDIUM RISK,7,2,True,VULNERABLE,7,False,CLEAN,0,1,
Cast Web Videos to Smart TVs_8.905_Apkpure.apk,False,CLEAN,0,0,False,CLEAN,0,False,CLEAN,0,0,
CetusPlay - TV Remote Server R_4.8.0-For TV_Apkpure.apk,True,MEDIUM RISK,6,2,True,VULNERABLE,7,True,VULNERABLE,10,5,
Cisco Secure Client-AnyConnect_5.0.00247_Apkpure.apk,True,MEDIUM RISK,5,4,True,VULNERABLE,6,True,VULNERABLE,8,7,
co.massmobileapps.porkmafia_3.apk,True,MEDIUM RISK,5,9,True,VULNERABLE,6,True,VULNERABLE,11,7,
com.app.radioelsalvador_2.apk,True,MEDIUM RISK,3,5,True,VULNERABLE,6,True,VULNERABLE,1,1,
com.app.soivyfi_135.apk,True,VULNERABLE,2,0,True,VULNERABLE,1,True,VULNERABLE,23,3,
com.bertholucci.potd_5.apk,True,VULNERABLE,1,0,True,VULNERABLE,1,False,CLEAN,0,1,
com.blossomsazz.app_1.apk,True,MEDIUM RISK,5,6,True,VULNERABLE,10,True,VULNERABLE,58,6,
com.chownow.communitylanes_139.apk,True,MEDIUM RISK,2,5,True,VULNERABLE,3,False,CLEAN,0,2,
com.chownow.howardscharro_140.apk,True,MEDIUM RISK,2,3,True,VULNERABLE,3,True,VULNERABLE,2,3,
Copy of alnima.wordshapes_3.apk,True,VULNERABLE,3,0,True,VULNERABLE,3,False,CLEAN,0,1,
